key,german,dutch
"components.addressComponent.VAT","USt-IdNr.","Btw-nummer"
"components.addressComponent.addressTypes.CityTown","Ort","Stad/Plaats"
"components.addressComponent.addressTypes.Company","Firma","Bedrijf"
"components.addressComponent.addressTypes.Department","Abteilung","Afdeling"
"components.addressComponent.addressTypes.NationalCode","Landescode","Landcode"
"components.addressComponent.addressTypes.POBox","Postfach","Postbus"
"components.addressComponent.addressTypes.StateCounty","Bundesland/Kreis","Provincie/Regio"
"components.addressComponent.addressTypes.Street","Straße","Straat"
"components.addressComponent.addressTypes.TimeZone","Zeitzone","Tijdzone"
"components.addressComponent.addressTypes.ZipCodeOfPOBox","PLZ des Postfachs","Postcode van postbus"
"components.addressComponent.addressTypes.Zipcode","PLZ","Postcode"
"components.assetNotFound.header","Verwaltungsschale konnte nicht geladen werden.","AAS kon niet worden geladen."
"components.assetNotFound.text","Es konnte keine Verwaltungsschale für die angegebene ID ''{id}'' geladen werden.","Kan AAS voor het opgegeven ID ''{id}'' niet laden"
"components.assetNotFound.toHome","Zur Startseite","Naar Home"
"components.authentication.authenticationNeeded","Authentifizierung erforderlich","Authenticatie vereist"
"components.authentication.contactAdmin","Sie können diese Seite nicht besuchen. Bitte wenden Sie sich an Ihren Administrator.","U kunt deze pagina niet bezoeken. Neem contact op met uw beheerder."
"components.authentication.nonDefaultRepositoryInfo","Bitte wenden Sie sich an Ihre Systemadministratorin oder Ihren Systemadministrator, um die Infrastruktur-Authentifizierung zu aktualisieren.","Neem contact op met uw systeembeheerder om de infrastructuurauthenticatie bij te werken."
"components.authentication.sessionExpired","Ihre Sitzung ist abgelaufen. Bitte melden Sie sich erneut an.","Uw sessie is verlopen. Log opnieuw in."
"components.carbonFootprint.beech","Eine Buche","Eén beukenboom"
"components.carbonFootprint.calculationMethod","Berechnungsmethode","Berekeningsmethode"
"components.carbonFootprint.co2EComparison","Vergleich","Vergelijking"
"components.carbonFootprint.co2EDistribution","CO2e Verteilung","CO2e-verdeling"
"components.carbonFootprint.comparisonAssumption","Unter der Annahme von 12,5 kg CO2e Speicherung pro Jahr.","Ervan uitgaande dat één beukenboom 12,5 kg CO2e per jaar opslaat."
"components.carbonFootprint.comparisonNeeds","braucht","heeft nodig"
"components.carbonFootprint.completedStages","Emissionen berechnet basierend auf folgenden Lebenszyklusphasen","Emissies berekend op basis van de productlevenscyclus"
"components.carbonFootprint.equivalents","CO2 Äquivalente","CO2-equivalenten"
"components.carbonFootprint.inTotal","gesamt","in totaal"
"components.carbonFootprint.notIncludedHint","nicht mit einbezogen","nog niet inbegrepen"
"components.carbonFootprint.productJourney","Produktreise","Productreis"
"components.carbonFootprint.stages.A1","A1 - Rohstoffversorgung (und vorgelagerte Produktion)","A1 - Levering van grondstoffen (en upstream-productie)"
"components.carbonFootprint.stages.A1-A3","A1-A3 - Rohstoffversorgung bis Produktion","A1-A3 - Levering van grondstoffen tot productie"
"components.carbonFootprint.stages.A2","A2 - Transport zum Werk","A2 - Transport van grondstof naar fabriek"
"components.carbonFootprint.stages.A3","A3 - Produktion","A3 - Productie"
"components.carbonFootprint.stages.A4","A4 - Transport zum Bestimmungsort","A4 - Transport naar eindbestemming"
"components.carbonFootprint.stages.A4-A5","A4-A5 - Transport bis Montage","A4-A5 - Transport naar montage"
"components.carbonFootprint.stages.A5","A5 - Installation","A5 - Installatie"
"components.carbonFootprint.stages.B1","B1 - Nutzungsphase","B1 - Gebruiksfase"
"components.carbonFootprint.stages.B1-B7","B1-B7 - Nutzungsphase","B1-B7 - Gebruiksfase"
"components.carbonFootprint.stages.B2","B2 - Wartung","B2 - Onderhoud"
"components.carbonFootprint.stages.B3","B3 - Reparatur","B3 - Reparatie"
"components.carbonFootprint.stages.B4","B4 - Ersatz","B4 - Vervanging"
"components.carbonFootprint.stages.B5","B5 - Aktualisierung/Aufrüstung, Aufarbeitung","B5 - Update/upgrade, renovatie"
"components.carbonFootprint.stages.B6","B6 - Energieverbrauch während der Nutzung","B6 - Energieverbruik tijdens gebruik"
"components.carbonFootprint.stages.B7","B7 - Wasserverbrauch während der Nutzung","B7 - Waterverbruik tijdens gebruik"
"components.carbonFootprint.stages.C1","C1 - Demontage","C1 - Demontage"
"components.carbonFootprint.stages.C1-C4","C1-C4 - Entsorgungsphase","C1-C4 - Afvalfase"
"components.carbonFootprint.stages.C2","C2 - Transport zum Recycler","C2 - Transport naar recycler"
"components.carbonFootprint.stages.C2-C4","C2-C4 - Recycling bis Deponie","C2-C4 - Recycling tot stortplaats"
"components.carbonFootprint.stages.C3","C3 - Recycling, Abfallbehandlung","C3 - Recycling, afvalverwerking"
"components.carbonFootprint.stages.C4","C4 - Deponie","C4 - Stortplaats"
"components.carbonFootprint.stages.D","D - Wiederverwendung","D - Hergebruik"
"components.carbonFootprint.timeUnit.month","{count, plural, =0 {unter einem Monat} =1 {1 Monat} other {# Monate}}","{count, plural, =0 {minder dan een maand} =1 {1 maand} other {# maanden}}"
"components.carbonFootprint.timeUnit.year","{count, plural, =0 {unter einem Jahr} =1 {1 Jahr} other {# Jahre}}","{count, plural, =0 {minder dan een jaar} =1 {1 jaar} other {# jaar}}"
"components.carbonFootprint.totalCO2Equivalents","(Bisherige) CO2 Emissionen des Produkts","CO2-emissies van het product (tot nu toe)"
"components.constructionDialog.buttonText","Schließen","Sluiten"
"components.constructionDialog.message","Diese Funktion befindet sich derzeit im Aufbau und wird in Kürze verfügbar sein.","Deze functie is momenteel in ontwikkeling en zal binnenkort beschikbaar zijn."
"components.constructionDialog.title","In Bearbeitung","In ontwikkeling"
"components.contactInformation.contactTypes.0173-1#07-AAS754#001","Geschäftlich","Kantoor"
"components.contactInformation.contactTypes.0173-1#07-AAS755#001","Geschäftlich Mobil","Kantoor mobiel"
"components.contactInformation.contactTypes.0173-1#07-AAS756#001","Sekretariat","Secretariaat"
"components.contactInformation.contactTypes.0173-1#07-AAS757#001","Vertretung","Vervanger"
"components.contactInformation.contactTypes.0173-1#07-AAS758#001","Privat","Thuis"
"components.contactInformation.contactTypes.0173-1#07-AAS759#001","Privat Mobil","Privé mobiel"
"components.contactInformation.contactTypes.home","Privat","Thuis"
"components.contactInformation.contactTypes.home mobile","Privat Mobil","Thuis mobiel"
"components.contactInformation.contactTypes.office","Geschäftlich","Kantoor"
"components.contactInformation.contactTypes.office mobile","Geschäftl. Mobil","Kantoor mobiel"
"components.contactInformation.contactTypes.secretary","Sekretariat","Secretariaat"
"components.contactInformation.contactTypes.substitute","Vertretung","Vervanger"
"components.copyButton.copied","In Zwischenablage kopiert","Gekopieerd naar klembord"
"components.copyButton.copy","Kopieren","Kopiëren"
"components.copyButton.copyBase64","Base64-kodiert kopieren","Base64-gecodeerd kopiëren"
"components.copyButton.copyFailed","Fehler beim Kopieren in die Zwischenablage","Kopiëren naar klembord mislukt"
"components.documentComponent.classification","Dokument Klassifikation","Documentclassificatie"
"components.documentComponent.documentDetails","Dokumentendetails","Documentdetails"
"components.documentComponent.fileNotFound","Datei nicht gefunden","Bestand niet gevonden"
"components.documentComponent.open","Öffnen","Openen"
"components.documentComponent.showMoreButton","zeige mehr","meer tonen"
"components.dummyComponent.dummyText","Das ist eine Dummy-Komponente. Sie wird verwendet, um das Layout und Design der Anwendung zu testen.","Dit is een dummy-component. Het wordt gebruikt om de lay-out en het ontwerp van de applicatie te testen."
"components.noSearchResult.header","Keine Daten gefunden","Geen gegevens gevonden"
"components.noSearchResult.noDataFound","Es wurden keine Daten für ''{name}'' gefunden.","Geen gegevens gevonden voor ''{name}''."
"components.noSearchResult.toHomeButton","Zur Startseite","Naar Home"
"components.propertyComponent.boolean.false","falsch","onwaar"
"components.propertyComponent.boolean.true","wahr","waar"
"components.propertyComponent.labels.copied","In Zwischenablage kopiert","Gekopieerd naar klembord"
"components.propertyComponent.labels.copy","Kopieren","Kopiëren"
"components.propertyComponent.labels.copyBase64","Base64-kodiert kopieren","Base64-gecodeerd kopiëren"
"components.propertyComponent.labels.notAvailable","-","-"
"components.propertyComponent.labels.value","Wert","Waarde"
"components.qrScanner.errors.defaultCallbackErrorMsg","QR Code konnte nicht geöffnet werden!","Kon de QR-code niet openen!"
"components.qrScanner.errors.errorOnQrScannerOpen","QR Scanner konnte nicht geöffnet werden!","Kon de QR-scanner niet openen!"
"components.relationShipDetailsDialog.error.entityError","Relation entity nicht gefunden","Relatie-entiteit niet gevonden"
"components.relationShipDetailsDialog.error.semanticError","Semantic ID nicht gefunden","Semantisch ID niet gevonden"
"components.relationShipDetailsDialog.error.unknownRelationship","Unbekannte Relation","Onbekende relatie"
"components.relationShipDetailsDialog.hasPart","hat Teil","heeft onderdeel"
"components.relationShipDetailsDialog.isPartOf","ist Teil von","is onderdeel van"
"components.relationShipDetailsDialog.sameAs","gleich wie","gelijk aan"
"components.relationShipDetailsDialog.semanticId","Semantic ID","Semantisch ID"
"components.submodelElementCollection.allAvailableData","Alle verfügbaren Daten","Alle beschikbare gegevens"
"components.submodelElementCollection.showEntriesButton.hide","Verbergen","Verbergen"
"components.submodelElementCollection.showEntriesButton.show","{count} Einträge anzeigen","{count} items tonen"
"components.technicalData.cannotRenderContent","Inhalt des Submodels kann nicht angezeigt werden.","Inhoud van dit submodel kan niet worden weergegeven."
"components.technicalData.furtherInformation","Weitere Informationen","Meer informatie"
"components.technicalData.generalInformation","Allgemeine Informationen","Algemene informatie"
"components.technicalData.productClassification","Produktklassifikation","Productclassificatie"
"components.technicalData.technicalProperties","Technische Eigenschaften","Technische eigenschappen"
"components.verticalTabSelector.errors.INTERNAL_SERVER_ERROR","Interner Serverfehler","Interne serverfout"
"components.verticalTabSelector.errors.NOT_FOUND","Submodel nicht gefunden","Submodel niet gevonden"
"components.verticalTabSelector.errors.UNAUTHORIZED","Nicht autorisiert","Niet geautoriseerd"
"components.verticalTabSelector.errors.UNKNOWN","Unbekannter Fehler","Onbekende fout"
"navigation.errors.generic","Etwas ist schiefgelaufen.","Er is iets misgegaan."
"navigation.errors.notFound","Nicht gefunden","Niet gevonden"
"navigation.errors.unauthorizedError.content","Sie haben keinen Zugang zu dieser Ressource. Loggen Sie sich ein oder bitten Sie Ihren Administrator um Zugriff.","U heeft geen toegang tot deze bron. Log in of vraag uw beheerder om toegang."
"navigation.errors.unauthorizedError.title","Unautorisierter Zugriff","Ongeautoriseerde toegang"
"navigation.errors.unexpectedError","Unerwarteter Fehler","Onverwachte fout"
"navigation.errors.urlNotFound","Keine Verwaltungsschale unter dieser ID.","Geen AAS met het opgegeven ID."
"navigation.footer.about","Über Mnestix","Over Mnestix"
"navigation.footer.dataPrivacy","Datenschutz","Gegevensbescherming"
"navigation.footer.imprint","Impressum","Colofon"
"navigation.mainMenu.aasList","AAS Liste","AAS-lijst"
"navigation.mainMenu.dashboard","Dashboard","Dashboard"
"navigation.mainMenu.findOutMore","Mehr Informationen","Meer informatie"
"navigation.mainMenu.login","Anmelden","Inloggen"
"navigation.mainMenu.logout","Abmelden","Uitloggen"
"navigation.mainMenu.repository","Repository","Repository"
"navigation.mainMenu.settings","Einstellungen","Instellingen"
"navigation.mainMenu.templates","Templates & Blueprints","Sjablonen & blauwdrukken"
"pages.aasList.buttonTooltip","Zur AAS","Ga naar AAS"
"pages.aasList.compare","Vergleichen","Vergelijken"
"pages.aasList.header","AAS Liste","AAS-lijst"
"pages.aasList.listHeader.aasEndpoint","AAS URL","AAS-URL"
"pages.aasList.listHeader.aasId","AAS ID","AAS-ID"
"pages.aasList.listHeader.assetId","Asset ID","Asset-ID"
"pages.aasList.listHeader.discoveryUrl","Discovery URL","Discovery-URL"
"pages.aasList.listHeader.infrastructureName","Infrastruktur","Infrastructuur"
"pages.aasList.listHeader.manufacturer","Herstellername","Naam fabrikant"
"pages.aasList.listHeader.picture","Bild","Afbeelding"
"pages.aasList.listHeader.productClass","Produktklasse","Productklasse"
"pages.aasList.listHeader.productDesignation","Hersteller Produktbezeichnung","Productaanduiding fabrikant"
"pages.aasList.listHeader.registryUrl","Registry URL","Registry-URL"
"pages.aasList.listHeader.repositoryUrl","Repository URL","Repository-URL"
"pages.aasList.listHeader.viewAASButton","AAS anzeigen","AAS bekijken"
"pages.aasList.maxElementsWarning","Maximal 3 Elemente selektierbar","Kan niet meer dan 3 elementen vergelijken"
"pages.aasList.page","Seite","Pagina"
"pages.aasList.repositoryDropdownLabel","AAS Repository oder AAS Registry (Infrastruktur)","AAS-repository of AAS-registry (infrastructuur)"
"pages.aasList.selectListSource","Bitte wählen Sie ein Repository oder AAS Registry aus","Selecteer een repository of AAS-registry"
"pages.aasList.subHeader","Hier finden Sie alle AAS aus Ihrem Repository oder AAS Registry. Sie können ein AAS-Repository oder AAS Registry auswählen, um zwischen den Datenquellen zu wechseln.","Hier vindt u alle AAS uit uw repository of AAS-registry. U kunt een AAS-repository of AAS-registry selecteren om tussen gegevensbronnen te schakelen."
"pages.aasList.titleComparisonAddButton","AAS zum Vergleich hinzufügen","AAS toevoegen aan vergelijking"
"pages.aasViewer.actions.compareButton","Vergleichen","Vergelijken"
"pages.aasViewer.actions.download","AAS herunterladen","AAS downloaden"
"pages.aasViewer.actions.toProductView","Produktansicht","Productweergave"
"pages.aasViewer.asset","Asset","Asset"
"pages.aasViewer.assetAdministrationShell","Verwaltungsschale","Asset Administration Shell"
"pages.aasViewer.errors.downloadError","Fehler beim Herunterladen der AAS.","Fout bij het downloaden van AAS."
"pages.aasViewer.errors.influxError","Beim Abrufen der Daten ist ein Fehler aufgetreten.","Er is een probleem opgetreden bij het ophalen van de tijdreeksgegevens."
"pages.aasViewer.labels.copied","In Zwischenablage kopiert","Gekopieerd naar klembord"
"pages.aasViewer.labels.copy","Kopieren","Kopiëren"
"pages.aasViewer.labels.copyBase64","Base64-kodiert kopieren","Base64-gecodeerd kopiëren"
"pages.aasViewer.labels.language","Sprache","Taal"
"pages.aasViewer.labels.notAvailable","-","-"
"pages.aasViewer.labels.text","Text","Tekst"
"pages.aasViewer.labels.value","Wert","Waarde"
"pages.aasViewer.messages.downloadSuccess","Download erfolgreich von: {endpoint} (Infrastruktur: {infrastructure})","Download geslaagd van: {endpoint} (Infrastructuur: {infrastructure})"
"pages.aasViewer.submodels.actions.open","Öffnen","Openen"
"pages.aasViewer.submodels.actions.view","Ansehen","Bekijken"
"pages.aasViewer.submodels.idLabel","ID:","ID:"
"pages.aasViewer.submodels.idShortLabel","idShort:","idShort:"
"pages.aasViewer.submodels.noSubmodelsToLoad","Für diese AAS existieren keine Teilmodelle.","Er bestaan geen submodellen voor deze AAS."
"pages.aasViewer.submodels.referenceCounter.count","Anzahl","Aantal"
"pages.aasViewer.submodels.referenceCounter.elementName","Element","Element"
"pages.aasViewer.submodels.renderError","Submodel konnte nicht gerendert werden.","Submodel kan niet worden weergegeven."
"pages.aasViewer.submodels.repositoryUrlLabel","Repository URL:","Repository-URL:"
"pages.aasViewer.submodels.semanticIdLabel","Semantic IDs:","Semantische IDs:"
"pages.aasViewer.submodels.timeSeries.internalSegments","Interne Segmente","Interne segmenten"
"pages.aasViewer.submodels.timeSeries.linkedSegments","Verlinkte Segmente","Gekoppelde segmenten"
"pages.aasViewer.submodels.timeSeries.noTimeSeriesSegments","Keine Zeitreihen-Segmente gefunden.","Geen tijdreekssegmenten gevonden."
"pages.aasViewer.submodels.timeSeries.selectTimeframe","Auswahl des Zeitabschnitts","Selecteer tijdsbestek"
"pages.aasViewer.submodels.title","Teilmodelle","Submodellen"
"pages.aasViewer.submodels.unknownModelType","Mnestix unterstützt diesen ModelType noch nicht ({type}).","Mnestix ondersteunt dit modeltype nog niet ({type})."
"pages.catalog.articleCount","{count, plural, =1 {# Artikel} other {# Artikel}}","{count, plural, =1 {# artikel} other {# artikelen}}"
"pages.catalog.eclassCategories.15","Instandhaltung (Dienstleistung)","Onderhoud (service)"
"pages.catalog.eclassCategories.27","Elektro-, Automatisierungs- und Prozessleittechnik","Elektrotechniek, automatisering, procesbesturingstechniek "
"pages.catalog.eclassCategories.44","Fahrzeugtechnik, Fahrzeugkomponente","Automotive engineering, voertuigcomponent"
"pages.catalog.eclassCategories.default","Kategorie ","Categorie "
"pages.catalog.filter","Filter","Filter"
"pages.catalog.manufacturerCatalog","Hersteller Produktkatalog","Productcatalogus fabrikant"
"pages.catalog.manufacturerSelect","Hersteller auswählen","Selecteer fabrikant"
"pages.catalog.marketplaceSubtitle","Verwaltungsschale für den Leitungssatz","Asset Administration Shell voor kabelbomen"
"pages.catalog.marketplaceTitle","VWS4LS - Marketplace","VWS4LS - Marktplaats"
"pages.catalog.noSearcherWarning","Kein AAS Searcher konfiguriert. AAS Liste wird angezeigt, Filterung ist nicht möglich.","Geen AAS-zoeker geconfigureerd. AAS-lijst wordt als terugval getoond, filters werken niet."
"pages.catalog.searchPlaceholder","Suche aktuell nicht verfügbar...","Zoeken momenteel niet beschikbaar..."
"pages.catalog.title","Hersteller Produktkatalog","Fabrikantcatalogus"
"pages.compare.addAnother","Eine weitere AAS hinzufügen","Nog een AAS toevoegen"
"pages.compare.addButton","Eine weitere AAS hinzufügen","Nog een AAS toevoegen"
"pages.compare.addFirstAasButton","AAS hinzufügen","AAS toevoegen"
"pages.compare.collection.hide","Verbergen","Verbergen"
"pages.compare.collection.show","{idShort}","{idShort}"
"pages.compare.errors.aasAddError","AAS konnte nicht hinzugefügt werden.","AAS kon niet worden toegevoegd."
"pages.compare.errors.aasAlreadyAdded","AAS kann nicht mehrmals hinzugefügt werden.","AAS kan niet meer dan één keer worden toegevoegd."
"pages.compare.errors.moreAasFound","Mehr als eine AAS im Discovery Service gefunden, bitte geben Sie die AAS-ID an.","Meer dan één AAS gevonden in de discovery-service, geef in plaats daarvan het AAS-ID op."
"pages.compare.errors.unknownModelType","Mnestix unterstützt diesen ModelType noch nicht ({type}).","Mnestix ondersteunt dit modeltype nog niet ({type})."
"pages.compare.title","AAS vergleichen","AAS vergelijken"
"pages.dashboard.aasOrAssetId","AAS ID oder Asset ID","AAS-ID of Asset-ID"
"pages.dashboard.digitalTwinMadeEasyText","Digitaler Zwilling leicht gemacht.","Digital Twin eenvoudig gemaakt."
"pages.dashboard.enterManuallyLabel","Manuell eingeben","Handmatig invoeren"
"pages.dashboard.findOutMoreHeader","Mehr Informationen","Meer informatie"
